X Y
-3.079836147615315767e+00 5.805203035085670926e-01
-2.737353521382241528e+00 -1.605522498546212207e+00
-2.324532998003330242e+00 -2.682267890811453892e+00
2.996165922208118282e+00 1.652532127421185493e+00
-1.613188281660802081e+00 2.948462245846209306e+00
1.589244942217948875e+00 -3.137919735833293977e+00
2.848997841357468808e+00 3.860006141886729303e+00
-1.694858383402365387e+00 3.490081938166119890e+00
7.595790306125359548e-01 -3.139784757170724916e+00
-3.871217475362830562e+00 -2.796853242136442486e+00
-3.192712651317623607e+00 -3.679621813223876159e-01
4.170750201824866998e+00 -1.913334255021615693e+00
2.641728344806129947e+00 3.853877474740668330e+00
-4.010131614477046469e+00 -2.662415004948215369e+00
1.491774654583740700e-01 2.161316872050710103e+00
-2.867063145767531074e-01 4.421558706613699208e+00
9.935562204155995447e-01 -4.047742361041964720e+00
-1.896727561093277004e+00 1.179914748371111655e+00
2.775060304896800112e+00 1.601521689961201256e+00
-1.519781921328856811e+00 2.338086672137290378e+00
-1.697912193487000732e+00 -3.942781895580056428e+00
2.204384389807118261e+00 4.132780962844812223e+00
3.840726885559998749e+00 -1.077126605775146517e+00
3.021509753779732854e+00 1.229361639341316481e+00
4.286220187170949991e+00 5.085472046626483833e-02
1.104460273510326607e+00 2.242942288903081227e+00
-3.190948407610594284e+00 -1.170727210553813347e+00
-1.724950429169098465e+00 -2.158003455072858845e+00
1.330522593403020148e-01 -4.525903490760117442e+00
-7.009218623053079522e-01 -2.303547280900253291e+00
-4.152783401811151798e+00 4.336399561852853357e-01
-5.389612102492098711e-02 -2.567069635187828158e+00
-3.423326920670268780e+00 -5.680519243710857591e-01
-2.246634530131114804e+00 1.141712563020665705e+00
1.166780899828008033e+00 4.827777656008943374e+00
-1.319566208536040897e+00 4.665463596438094385e+00
-4.130455660128423467e+00 9.256278237062393055e-02
-3.500669929320636697e+00 -1.850726322370599197e+00
-2.081194948200801420e+00 -4.679394237303760584e-01
-2.550938574204719256e+00 -3.406434607967663286e+00
-3.255668216048599461e+00 4.406920738086878564e-01
-3.623624474288768216e+00 2.826486747642279695e+00
-2.023080736274315505e+00 -4.163424992813969716e+00
-9.306891699431942000e-02 -3.624835356614563686e+00
3.494706909993034127e+00 -1.391671463223926319e-01
3.827185382740271979e+00 3.159227732352755336e+00
4.891856268402834829e+00 -8.993006377712581267e-01
-1.290369105278274198e+00 4.249610333564681319e+00
2.543053276797137219e+00 -3.263158444343096765e+00
-2.602095927523868646e-01 2.473214502196707798e+00
2.483125378335585332e+00 3.041353720816345696e+00
7.155418134826873056e-01 4.382793463694932612e+00
4.653121051054525559e+00 9.405122035560413707e-01
-2.509182062606073682e+00 2.216680753016265548e+00
-4.922958968836023130e-01 4.652860765261553233e+00
-3.912087873649339187e+00 2.829206149764900591e+00
1.763922199534575963e+00 2.470159511686571552e+00
-3.029827000052121577e-01 -2.304784422514986719e+00
-2.580745240967043497e+00 3.252843576476032617e+00
3.087148626166151377e+00 3.095004359952040929e+00
8.612390247523684650e-01 -4.437503827840097337e+00
-2.363315004780961459e+00 1.487285962865965150e+00
4.116456293506476349e+00 7.879531791758659365e-01
-3.117123013150721600e-01 -2.514372242226369014e+00
2.882738982796558158e+00 -2.251013422831122934e+00
1.725587477447348528e+00 -4.381592862543322475e+00
-1.770889182037764797e+00 -3.659903781115577015e+00
-1.196737851449384937e+00 2.820294596199247827e+00
3.304091972071728556e+00 -2.516838562549303937e+00
-3.596715950594147060e+00 6.961070791910536348e-01
-4.148404067201723500e+00 -1.147454033746119428e+00
8.195401620157198863e-01 -3.434177661914667556e+00
2.297318679913425421e-01 -3.444643940979166707e+00
-3.729965360142319497e+00 -2.847058845495359591e+00
1.622407070120917005e-01 2.046466130037526643e+00
3.711661348643439773e+00 2.270255741483880652e+00
3.086160165354523421e+00 3.186216978361783081e+00
-2.193355419652203597e+00 -3.920074551760642567e+00
-1.053856375257437722e-01 2.953195853053335540e+00
-2.108414847393968117e+00 3.042928267962733191e+00
-6.280252723268230364e-01 4.057308963197367113e+00
4.092385410571487192e+00 -2.589510756048057250e+00
-4.624734616318201930e+00 7.787109385226274050e-01
2.603285009050020360e+00 -3.698492273915679807e+00
-2.727187555222682747e+00 -3.199216202944104470e+00
2.492018907348195977e+00 -3.218658993894067954e+00
-1.089618170862432178e+00 -2.856426353659106354e+00
-2.347565711939213262e+00 -2.898980080831997430e+00
-4.255818461454443202e+00 3.909522192559081177e-01
5.813296735655074654e-01 4.642588209927407839e+00
3.091846333422947346e+00 -1.169911541646442954e+00
3.456351328273828738e+00 -2.603691987349318282e+00
-1.870515287418121009e+00 -1.663785444149649351e+00
3.859963432423539675e+00 5.807167651851767864e-01
-6.936983283697752134e-02 -2.139106272151911625e+00
2.434221874237258110e+00 5.304171257688685692e-01
-3.113764668383748546e+00 -1.606456579290311604e+00
-3.578558303398983842e+00 -1.399092229660606757e+00
-1.082598189067653371e-01 -2.953262068804532792e+00
6.277984884053318115e-01 -2.680624355654589674e+00
4.732612996736204281e+00 5.942121821418511196e-01
-3.527168605751379804e+00 -2.207327140137092858e+00
2.012411331892386634e+00 -3.104484030738034472e-01
3.216635753354512683e+00 3.212934984127346016e+00
2.208215373070404386e+00 6.290902794733542747e-01
-5.465621712022887199e-03 -3.016893685551606641e+00
4.677870519813890127e+00 -9.812238239671038365e-01
-4.982028417905992157e+00 -4.140971789554323546e-01
-6.401801829951421219e-01 2.353054457456093207e+00
2.524797705956427052e+00 3.956971693206780660e+00
-3.933629346729074161e+00 -1.569255346234341930e+00
-8.046247790329338345e-01 -2.075758120023949438e+00
